date,Year_Month,open,high,low,close,volume,avg_vol_20d,UNRATE(%),CONSUMER CONF INDEX,PPI-CONST MAT.,CPIALLITEMS,INFLATION(%),MORTGAGE INT. MONTHLY AVG(%),MED HOUSEHOLD INCOME,CORP. BOND YIELD(%),MONTHLY HOME SUPPLY
2002/5/21,5-2002,1091.88,1099.55,1079.08,1079.88,1200500000,1312840000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/22,5-2002,1079.88,1086.02,1075.64,1086.02,1136300000,1300995000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/23,5-2002,1086.02,1097.1,1080.55,1097.08,1192900000,1284770000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/24,5-2002,1097.08,1097.08,1082.1899,1083.8199,885400000,1260330000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/28,5-2002,1083.8199,1085.98,1070.3101,1074.55,996500000,1244420000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/29,5-2002,1074.55,1074.83,1067.66,1067.66,1081800000,1217080000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/30,5-2002,1067.66,1069.5,1054.26,1064.66,1286600000,1208840000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/31,5-2002,1064.66,1079.9301,1064.66,1067.14,1277300000,1204505000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/6/3,6-2002,1067.14,1070.74,1039.9,1040.6801,1324300000,1206495000,5.8,110.3,144.3,75.90172857,1.067415727,6.65,42409,6.63,4.2
2002/6/4,6-2002,1040.6801,1046.0601,1030.52,1040.6899,1466600000,1223695000,5.8,110.3,144.3,75.90172857,1.067415727,6.65,42409,6.63,4.2
